"Title","Description","Image","Image Alt Text","ID","Created Date","Updated Date","Owner","Publish Date","Unpublish Date","Status"
"City Space","<p class=""font_8"">True Spirit</p>","wix:image://v1/866235_2b4ca21965f042e883e65c6fb2b1a883~mv2.jpg/city_space.jpg#originWidth=1000&originHeight=1000",,"08ee8f18-5f06-4f0b-98a7-7b60e6227155",2026-04-20T17:55:23Z,2026-04-20T18:00:29Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T17:50:46Z,,"PUBLISHED"
"Canyon Cove","<p class=""font_8"">Cape Cod</p>","wix:image://v1/866235_528286ca5f4d4c7a81efa3cd7ffcf86d~mv2.jpg/canyon_cove.jpg#originWidth=1000&originHeight=1000",,"1110b26d-bd0f-47ed-8576-eee3f0b7caff",2026-04-20T17:54:07Z,2026-04-20T17:59:27Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T17:50:46Z,,"PUBLISHED"
"Coffee Bean","<p class=""font_8"">Cape Cod</p>","wix:image://v1/866235_117aefa719ff4a7ba659a946e520ec3e~mv2.jpg/coffee_bean.jpg#originWidth=1000&originHeight=1000",,"19261162-c93b-48f6-a4fa-4c949427dc2c",2026-04-20T17:54:07Z,2026-04-20T17:59:37Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T17:50:46Z,,"PUBLISHED"
"Truffle","<p class=""font_8"">True Spirit</p>","wix:image://v1/866235_5bdc7bbe0a1748deb56112a17195f938~mv2.jpg/truffle.jpg#originWidth=1000&originHeight=998",,"30e3273f-f88a-4344-9d84-3c5210e6276a",2026-04-20T17:55:23Z,2026-04-20T18:01:10Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T17:50:46Z,,"PUBLISHED"
"Daytona Sand","<p class=""font_8"">Cape Cod</p>","wix:image://v1/866235_dec2b97d31e6401abe8ff071a1923d79~mv2.jpg/daytona_sand.jpg#originWidth=1000&originHeight=1000",,"4f586434-472d-426b-a5e0-5fc0fa4b3e6f",2026-04-20T17:54:07Z,2026-04-20T17:59:59Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T17:50:46Z,,"PUBLISHED"
"Creamy Silk","<p class=""font_8"">Cape Cod</p>","wix:image://v1/866235_74b8005afff14498861682caef6e1d68~mv2.jpg/creamy_silk.jpg#originWidth=1000&originHeight=1000",,"51840e48-cae7-48be-838c-734f94904518",2026-04-20T17:54:07Z,2026-04-20T17:59:48Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T17:50:46Z,,"PUBLISHED"
"Quarry","<p class=""font_8"">True Spirit</p>","wix:image://v1/866235_1446f22b7059417c81de886f2bf225ec~mv2.jpg/quarry.jpg#originWidth=1000&originHeight=1000",,"5a2970be-1e8d-454d-b7bb-7ce3c65c77e4",2026-04-20T17:55:23Z,2026-04-20T18:01:01Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T17:50:46Z,,"PUBLISHED"
"Camel Back","<p class=""font_8"">Cape Cod</p>","wix:image://v1/866235_7389ca5af92b4857aac1b72ac34b00f4~mv2.jpg/camelback.jpg#originWidth=1000&originHeight=1000",,"6ab553dc-47be-4fc7-be5f-9f1146c55700",2026-04-20T17:54:01Z,2026-04-20T17:58:52Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T17:50:46Z,,"PUBLISHED"
"Oxford","<p class=""font_8"">Cape Cod</p>","wix:image://v1/866235_d4c6a3a0f38044e19684e45d45128104~mv2.jpg/oxford.jpg#originWidth=1000&originHeight=1000",,"71402f6e-e766-40c1-80ad-1d3e9291acd7",2026-04-20T17:54:17Z,2026-04-20T18:00:11Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T17:50:46Z,,"PUBLISHED"
"Lady Liberty","<p class=""font_8"">True Spirit</p>","wix:image://v1/866235_cea918d9cc04422faf4a21b8f2ec0179~mv2.jpg/lady_liberty.jpg#originWidth=1000&originHeight=1000",,"97b4d992-e3ba-4b13-bf17-dcdb97a248e4",2026-04-20T17:55:23Z,2026-04-20T18:00:53Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T17:50:46Z,,"PUBLISHED"
"Cottage","<p class=""font_8"">True Spirit</p>","wix:image://v1/866235_90776edbbe7d487a93c20b15ba348009~mv2.jpg/cottage.jpg#originWidth=1000&originHeight=1000",,"b202d751-aa14-43e7-8461-6cefcd0ef6bc",2026-04-20T17:55:23Z,2026-04-20T18:00:45Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T17:50:46Z,,"PUBLISHED"
"Silversmith","<p class=""font_8"">Cape Cod</p>","wix:image://v1/866235_0a6d962fe31e4406bfbddd205b95aee6~mv2.jpg/silversmith.jpg#originWidth=1000&originHeight=1000",,"cd9a454e-528b-435f-9e2e-705a3751b424",2026-04-20T17:54:17Z,2026-04-20T18:00:20Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T17:50:46Z,,"PUBLISHED"
"Concrete","<p class=""font_8"">True Spirit</p>","wix:image://v1/866235_83fe4b6ea9b84385a2f25616ebc1c736~mv2.jpg/concrete.jpg#originWidth=1000&originHeight=1000",,"d04a2db3-e65d-482c-9ba3-bd21c8c7e160",2026-04-20T17:55:23Z,2026-04-20T18:00:38Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T17:50:46Z,,"PUBLISHED"
