"Title","Description","Image","Image Alt Text","ID","Created Date","Updated Date","Owner","Publish Date","Unpublish Date","Status"
"Black Ice","<p class=""font_8"">Palisade Shower</p>","wix:image://v1/866235_31c162babdc54daeb74c44140dee0879~mv2.jpg/Black-Ice.jpg#originWidth=3024&originHeight=4032",,"1266d848-d9a4-4d51-980a-11ce8aa3c928",2026-04-20T19:17:45Z,2026-04-20T19:22:08Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T19:16:32Z,,"PUBLISHED"
"Chimney Corner","<p class=""font_8"">2x4 Brick Joint Tile</p>","wix:image://v1/866235_c53e1e6b513a4033af43c8782ea93e67~mv2.jpg/chimney_corner.jpg#originWidth=1095&originHeight=735",,"20192c5a-3f8f-431c-b283-ea4e46c80cda",2026-04-20T19:16:34Z,2026-04-20T19:20:35Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T19:16:32Z,,"PUBLISHED"
"Mantle Piece","<p class=""font_8"">Shower Tile</p>","wix:image://v1/866235_517487b38e054e6fbb5489d477098987~mv2.jpg/mantle_piece.jpg#originWidth=1436&originHeight=681",,"2a62115e-2488-489e-9183-52f673c9c3d2",2026-04-20T19:18:12Z,2026-04-20T19:22:42Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T19:16:32Z,,"PUBLISHED"
"Mantle Piece","<p class=""font_8"">2x4 Brick Joint Tile</p>","wix:image://v1/866235_eec90ee65cdc4bd7a0a8bfa2d0770d7b~mv2.jpg/mantle_piece.jpg#originWidth=1119&originHeight=734",,"5ea88515-e6cc-4588-b5e8-303ff13bf3a0",2026-04-20T19:16:43Z,2026-04-20T19:20:41Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T19:16:32Z,,"PUBLISHED"
"Urban Putty","<p class=""font_8"">Backsplash</p>","wix:image://v1/866235_3133aa1670094e0c81e92c16f38ed060~mv2.jpg/urban_putty.jpg#originWidth=909&originHeight=639",,"64bb32a1-bd01-4e89-be6e-df4845cfff08",2026-04-20T19:17:26Z,2026-04-20T19:22:00Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T19:16:32Z,,"PUBLISHED"
"Carrara Marble","<p class=""font_8"">Palisade Shower</p>","wix:image://v1/866235_cfa636864aa34f7ebad552a7eed6e168~mv2.jpg/Carrara-Marble.jpg#originWidth=3024&originHeight=4032",,"6c024814-4d5b-455d-bf1d-34bdb5849341",2026-04-20T19:17:48Z,2026-04-20T19:22:18Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T19:16:32Z,,"PUBLISHED"
"Chimney Corner","<p class=""font_8"">Shower Tile</p>","wix:image://v1/866235_2438a03299ab497db983bd23e527cedb~mv2.jpg/chimney_corner.jpg#originWidth=1382&originHeight=698",,"745e7dd7-3f55-4258-babc-f8b15d538349",2026-04-20T19:18:07Z,2026-04-20T19:22:33Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T19:16:32Z,,"PUBLISHED"
"Desert Gray","<p class=""font_8"">Backsplash</p>","wix:image://v1/866235_3c425e6e68b7409087c25b6708397413~mv2.jpg/desert_gray.jpg#originWidth=896&originHeight=640",,"78d2d69d-0551-40f9-8e8d-0aa156bac412",2026-04-20T19:17:14Z,2026-04-20T19:21:25Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T19:16:32Z,,"PUBLISHED"
"Diamond Delta","<p class=""font_8"">Backsplash</p>","wix:image://v1/866235_2b1d99f2be4e4f32a2b79b35eeedbcd1~mv2.jpg/diamond_delta.jpg#originWidth=1422&originHeight=1200",,"79b73216-1a1f-4e7a-b3eb-d859a790542b",2026-04-20T19:17:17Z,2026-04-20T19:21:34Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T19:16:32Z,,"PUBLISHED"
"Artic White","<p class=""font_8"">Backsplash</p>","wix:image://v1/866235_5aae6ac327204b2ab8f59ca122f0e243~mv2.jpg/artic_white.jpg#originWidth=933&originHeight=639",,"90ddb657-2bea-41f5-a28e-10d3455be166",2026-04-20T19:16:49Z,2026-04-20T19:20:51Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T19:16:32Z,,"PUBLISHED"
