"Title","Description","Image","Image Alt Text","ID","Created Date","Updated Date","Owner","Publish Date","Unpublish Date","Status"
"Daytona Sand","<p class=""font_8"">Cape Cod 25oz</p>","wix:image://v1/866235_a93fb7fb5eeb46b3afede3a4f43c0405~mv2.jpg/daytona_sand.jpg#originWidth=1000&originHeight=1000",,"07a169c8-ca68-4dfd-89d5-1239feae3da4",2026-04-20T20:50:02Z,2026-04-20T20:53:37Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:49:23Z,,"PUBLISHED"
"Truffle","<p class=""font_8"">True Sprit 39oz</p>","wix:image://v1/866235_ca81a09e50eb48baba1b9189dfb0c261~mv2.png/truffle.png#originWidth=1284&originHeight=1278",,"0ebb76be-39e5-4035-a322-e01326b8a1bb",2026-04-20T20:50:56Z,2026-04-20T20:54:44Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:49:23Z,,"PUBLISHED"
"Concrete","<p class=""font_8"">True Sprit 39oz</p>","wix:image://v1/866235_0c9af2b2a2394d5aa33d646797222ff2~mv2.png/concrete.png#originWidth=1284&originHeight=1278",,"1ae9e682-3cd1-4e08-89e6-137641cfe115",2026-04-20T20:50:23Z,2026-04-20T20:54:11Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:49:23Z,,"PUBLISHED"
"Quarry","<p class=""font_8"">True Sprit 39oz</p>","wix:image://v1/866235_5454cabb26de41d58aa84a45dc7fe0df~mv2.png/quarry.png#originWidth=1284&originHeight=1278",,"1f52bd67-2d81-4b94-a71d-b3265930edbc",2026-04-20T20:50:51Z,2026-04-20T20:54:37Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:49:23Z,,"PUBLISHED"
"Oxford","<p class=""font_8"">Cape Cod 25oz</p>","wix:image://v1/866235_a98a949c7caf4c49ac46f2d0c280dec1~mv2.jpg/oxford.jpg#originWidth=1000&originHeight=1000",,"37ba383a-e056-4174-9f78-d05237a081fa",2026-04-20T20:50:05Z,2026-04-20T20:53:46Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:49:23Z,,"PUBLISHED"
"Canyon Cove","<p class=""font_8"">Cape Cod 25oz</p>","wix:image://v1/866235_a75eae30c4e84da7896fd48926c055df~mv2.jpg/canyon_cove.jpg#originWidth=1000&originHeight=1000",,"47a20467-cf09-4732-b575-c52f9677a7d5",2026-04-20T20:49:29Z,2026-04-20T20:53:12Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:49:23Z,,"PUBLISHED"
"Silversmith","<p class=""font_8"">Cape Cod 25oz</p>","wix:image://v1/866235_7b3a2bee72a64ec091c845359bd4a61a~mv2.jpg/silversmith.jpg#originWidth=1000&originHeight=1000",,"707819fe-446d-447b-8d86-66b2db6dc80f",2026-04-20T20:50:09Z,2026-04-20T20:53:55Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:49:23Z,,"PUBLISHED"
"Lady Liberty","<p class=""font_8"">True Sprit 39oz</p>","wix:image://v1/866235_f856951d390b4e33bb62a5483c1a5ae8~mv2.png/lady_liberty.png#originWidth=1284&originHeight=1278",,"a3a38cf0-e455-4ca3-9a25-868e1ad4883a",2026-04-20T20:50:24Z,2026-04-20T20:54:29Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:49:23Z,,"PUBLISHED"
"Coffee Bean","<p class=""font_8"">Cape Cod 25oz</p>","wix:image://v1/866235_525362932b124c81b427557e757d48f9~mv2.jpg/coffee_bean.jpg#originWidth=1000&originHeight=1000",,"afa7159e-024b-478f-9f5a-caa69e09a330",2026-04-20T20:49:29Z,2026-04-20T20:53:20Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:49:23Z,,"PUBLISHED"
"City Space","<p class=""font_8"">True Sprit 39oz</p>","wix:image://v1/866235_e3c6f9f924b64cda94866e3e216decb2~mv2.png/city_space.png#originWidth=1284&originHeight=1278",,"d47fe4a8-01ee-4763-9ea9-b3a4e837a77b",2026-04-20T20:50:22Z,2026-04-20T20:54:03Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:49:23Z,,"PUBLISHED"
"Creamy Silk","<p class=""font_8"">Cape Cod 25oz</p>","wix:image://v1/866235_85d8777b2f374c1cb0f92644b3b0afd8~mv2.jpg/creamy_silk.jpg#originWidth=1000&originHeight=1000",,"d4bb6e00-cf75-418b-8aa2-afdf0de2f58e",2026-04-20T20:49:30Z,2026-04-20T20:53:28Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:49:23Z,,"PUBLISHED"
"Cottage","<p class=""font_8"">True Sprit 39oz</p>","wix:image://v1/866235_51464fb13acc4e39bb9f76a18106b7b6~mv2.png/cottage.png#originWidth=1284&originHeight=1278",,"e57dba04-6dd1-470f-a215-02252dee4a87",2026-04-20T20:50:23Z,2026-04-20T20:54:20Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:49:23Z,,"PUBLISHED"
"Camelback","<p class=""font_8"">Cape Cod 25oz</p>","wix:image://v1/866235_a717661510c342c39028d05c8291a50d~mv2.jpg/camelback.jpg#originWidth=1000&originHeight=1000",,"ec3b3d3b-4566-46f6-ac95-7d09d6487104",2026-04-20T20:49:28Z,2026-04-20T20:53:02Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:49:23Z,,"PUBLISHED"
