"Title","Description","Image","Image Alt Text","ID","Created Date","Updated Date","Owner","Publish Date","Unpublish Date","Status"
"Attitude Gray","<p class=""font_8"">SW 7060</p>","wix:image://v1/866235_3e6e037db2544966a6aaec617849e57e~mv2.png/Attitude%20Gray%20SW%207060.png#originWidth=1000&originHeight=1000",,"02932c65-d47e-4a29-8e71-513af1e4a310",2026-04-20T20:55:54Z,2026-04-20T20:59:15Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:55:45Z,,"PUBLISHED"
"Gray Screen","<p class=""font_8"">SW 7071</p>","wix:image://v1/866235_3148269d2e2f4bf1a433f33cbec18681~mv2.png/Gray%20Screen%20SW%207071.png#originWidth=1000&originHeight=1000",,"0f5d6e0c-c6d3-432c-92c4-6958cac71361",2026-04-20T20:56:09Z,2026-04-20T20:59:47Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:55:45Z,,"PUBLISHED"
"White Duck","<p class=""font_8"">SW 7010</p>","wix:image://v1/866235_f704f24ac8e44c258895327392517be7~mv2.png/White%20Duck%20SW%207010.png#originWidth=1000&originHeight=1000",,"12d98871-3be9-423f-8c1c-1b6faf813338",2026-04-20T20:56:42Z,2026-04-20T21:00:53Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:55:45Z,,"PUBLISHED"
"Warm Stone","<p class=""font_8"">SW 7032</p>","wix:image://v1/866235_daad47ac5b0c438d9f8fe92fc0e70039~mv2.png/Warm%20Stone%20SW%207032.png#originWidth=1000&originHeight=1000",,"2d0cf685-4757-4862-8ed9-4bf015d007c0",2026-04-20T20:56:39Z,2026-04-20T21:00:44Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:55:45Z,,"PUBLISHED"
"Urban Bronze","<p class=""font_8"">SW 7048</p>","wix:image://v1/866235_b780863045ff488a95dbbf6865b1a0a8~mv2.png/Urban%20Bronze%20SW%207048.png#originWidth=1000&originHeight=1000",,"45d220c2-35d6-4586-b09f-ef997e9b7a98",2026-04-20T20:56:29Z,2026-04-20T21:00:26Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:55:45Z,,"PUBLISHED"
"Urban Jungle","<p class=""font_8"">SW 9117</p>","wix:image://v1/866235_168b176d1439435eab6ec171d65d03f5~mv2.png/Urban%20Jungle%20SW%209117.png#originWidth=1000&originHeight=1000",,"4f2f550f-05cc-41c7-bfe4-1e1324143392",2026-04-20T20:56:33Z,2026-04-20T21:00:32Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:55:45Z,,"PUBLISHED"
"Crabby Apple","<p class=""font_8"">SW 7592</p>","wix:image://v1/866235_4ad08a289bb440b6a58c31dc7dd84acd~mv2.png/Crabby%20Apple%20SW%207592.png#originWidth=1000&originHeight=1000",,"554cec6f-151b-48a1-925c-75964fed207d",2026-04-20T20:56:03Z,2026-04-20T20:59:35Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:55:45Z,,"PUBLISHED"
"Proper Gray","<p class=""font_8"">SW 6003</p>","wix:image://v1/866235_f2306972143743af83232714d06843be~mv2.png/Proper%20Gray%20SW%206003.png#originWidth=1000&originHeight=1000",,"64686007-d558-4ac3-914b-af0d2c239cdb",2026-04-20T20:56:19Z,2026-04-20T21:00:01Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:55:45Z,,"PUBLISHED"
"Pure White","<p class=""font_8"">SW 7005</p>","wix:image://v1/866235_0c9515b57b044f38b3a360d3abf27dda~mv2.png/Pure%20White%20SW%207005.png#originWidth=1000&originHeight=1000",,"7b3a3ed9-c3a3-4333-abda-f4611e5c5119",2026-04-20T20:56:22Z,2026-04-20T21:00:07Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:55:45Z,,"PUBLISHED"
"Cornwall Slate","<p class=""font_8"">SW 9131</p>","wix:image://v1/866235_3638ec257dd040289b57564db1acc21e~mv2.png/Cornwall%20Slate%20SW%209131.png#originWidth=1000&originHeight=1000",,"83eeda3a-f58f-40cd-96a5-f1e4d9ac1883",2026-04-20T20:56:00Z,2026-04-20T20:59:28Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:55:45Z,,"PUBLISHED"
