"Title","Description","Image","Image Alt Text","ID","Created Date","Updated Date","Owner","Publish Date","Unpublish Date","Status"
"Ebony Hexagon","<p class=""font_8"">Mosaics</p>","wix:image://v1/866235_ae5e6c15b9e54e3e914859a7a0f669c4~mv2.png/ebony_hexagon.png#originWidth=1000&originHeight=1000",,"155a3f50-6a66-4576-979a-95184436be39",2026-04-20T21:11:42Z,2026-04-20T21:15:31Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:10:56Z,,"PUBLISHED"
"Retrospace Remix Glossy Modern White 3x6","<p class=""font_8"">Ceramic Backsplash</p>","wix:image://v1/866235_c397588d3e68439b9efd5ca094ed4ebe~mv2.png/Retrospace%20Remix%20Glossy%20Modern%20White%203x6.png#originWidth=1000&originHeight=300",,"1ce47c71-ad5e-4cbf-9626-7379da55b6c8",2026-04-20T21:11:11Z,2026-04-20T21:14:14Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:10:56Z,,"PUBLISHED"
"Scrapbook Cherished Greige 2x8","<p class=""font_8"">Ceramic Backsplash</p>","wix:image://v1/866235_64e12cfc6ed242ebb55faf83c9050d97~mv2.png/Scrapbook%20Cherished%20Greige%202x8.png#originWidth=1000&originHeight=300",,"1e0e44e7-c1bf-4966-96bc-2acc0dc4573a",2026-04-20T21:11:16Z,2026-04-20T21:15:00Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:10:56Z,,"PUBLISHED"
"Stencil Linear Matte Beige 4x12","<p class=""font_8"">Ceramic Backsplash</p>","wix:image://v1/866235_b48726c11a2543e099278d6d978bdb2e~mv2.png/Stencil%20Linear%20Matte%20Beige%204x12.png#originWidth=1000&originHeight=300",,"1f582d06-a15a-4a1b-8319-c044c32fa113",2026-04-20T21:11:22Z,2026-04-20T21:15:22Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:10:56Z,,"PUBLISHED"
"Scrapbook Memory Gray 2x8","<p class=""font_8"">Ceramic Backsplash</p>","wix:image://v1/866235_c7d04dafe6ec42a2854d87d52848f63e~mv2.png/Scrapbook%20Memory%20Gray%202x8.png#originWidth=1000&originHeight=280",,"3c3f7c31-0977-4022-a893-7761983c17f5",2026-04-20T21:11:19Z,2026-04-20T21:15:13Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:10:56Z,,"PUBLISHED"
"Synchronic Matte Charcoal 12x24","<p class=""font_8"">Shower and Fireplace</p>","wix:image://v1/866235_1d56327bab5a41128dd22de9a1ea5f0f~mv2.png/Synchronic%20Matte%20Charcoal%2012x24.png#originWidth=1000&originHeight=300",,"46f5cf57-41bf-426b-86e8-8bb8420480b9",2026-04-20T21:11:59Z,2026-04-20T21:15:55Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:10:56Z,,"PUBLISHED"
"Galaxy","<p class=""font_8"">Mosaics</p>","wix:image://v1/866235_da8056932f794a1abe9104b9c227c342~mv2.png/galaxy.png#originWidth=1000&originHeight=1000",,"4b744a0c-97c8-4350-b29a-96c2b049f059",2026-04-20T21:11:47Z,2026-04-20T21:15:37Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:10:56Z,,"PUBLISHED"
"Synchronic Textured Taupe 12x24","<p class=""font_8"">Shower and Fireplace</p>","wix:image://v1/866235_9c6b139886b840709bc29ea176dfc03a~mv2.png/Synchronic%20Textured%20Taupe%2012x24.png#originWidth=1000&originHeight=300",,"593d653c-bee8-4176-8659-f8cc9fd54620",2026-04-20T21:12:08Z,2026-04-20T21:16:03Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:10:56Z,,"PUBLISHED"
"Matte Indigo 4x12","<p class=""font_8"">Ceramic Backsplash</p>","wix:image://v1/866235_a2059b0daed945688410cefc26be9bed~mv2.png/Matte%20Indigo%204x12.png#originWidth=1000&originHeight=295",,"72c5d549-bc33-44bd-b649-d337bf550b11",2026-04-20T21:11:03Z,2026-04-20T21:13:52Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:10:56Z,,"PUBLISHED"
"Venetian Marble","<p class=""font_8"">Shower Panels - Full Panel</p>","wix:image://v1/866235_730976a874be4d668b1bbe2fc795a331~mv2.jpg/venetian_marble.jpg#originWidth=1000&originHeight=1000",,"748300de-5d7b-4577-95c9-c163ea075500",2026-04-20T21:12:18Z,2026-04-20T21:16:18Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:10:56Z,,"PUBLISHED"
