GOLDEN WEST,,,,,,,,,,,,,,,,,
Model #,,,Size,,,SQFT,,Retail Price,,,Price Per Sqft,,,,,,
"Dream ""Silver""",,,,,,,,,,,,,,,,,
CASITA,,,"13' 6"" WIDE",,,409,,"$99,895.40",,,$244.24,,,,,,
DRM 401M,,,"13' 6"" WIDE",,,540,,"$96,554.96",,,$178.81,,,,,,
DRM 481M,,,"13' 6"" WIDE",,,648,,"$101,052.08",,,$155.94,,,,,,
DRM 521M,,,"13' 6"" WIDE",,,702,,"$102,953.96",,,$146.66,,,,,,
DRM 561M,,,"13' 6"" WIDE",,,756,,"$103,445.36",,,$136.83,,,,,,
DRM 601M,,,"13' 6"" WIDE",,,810,,"$108,942.56",,,$134.50,,,,,,
DRM 661M,,,"13' 6"" WIDE",,,891,,"$114,744.32",,,$128.78,,,,,,
DRM 562N,,,15' WIDE,,,840,,"$107,681.12",,,$128.19,,,,,,
DRM 603N,,,15' WIDE,,,900,,"$113,435.36",,,$126.04,,,,,,
DRM 661N,,,15' WIDE,,,990,,"$117,707.84",,,$118.90,,,,,,
DRM 301P,,,20' WIDE,,,547,,"$117,548.56",,,$214.90,,,,,,
DRM 402P,,,20' WIDE,,,800,,"$145,390.96",,,$181.74,,,,,,
DRM 482P,,,20' WIDE,,,944,,"$151,030.72",,,$159.99,,,,,,
DRM 561P,,,20' WIDE,,,1101,,"$159,352.12",,,$144.73,,,,,,
DRM 363A,,,24' WIDE,,,864,,"$139,230.64",,,$161.15,,,,,,
DRM 385A,,,24' WIDE,,,900,,"$144,798.04",,,$160.89,,,,,,
DRM 386A,,,24' WIDE,,,900,,"$145,597.24",,,$161.77,,,,,,
DRM 482A,,,24' WIDE,,,1152,,"$152,990.92",,,$132.80,,,,,,
DRM 502A,,,24' WIDE,,,1176,,"$151,728.40",,,$129.02,,,,,,
DRM 443F,,,27' WIDE,,,1188,,"$151,157.08",,,$127.24,,,,,,
DRM 444F,,,27' WIDE,,,1188,,"$150,486.40",,,$126.67,,,,,,
DRM 481F,,,27' WIDE,,,1296,,"$155,231.92",,,$119.78,,,,,,
DRM 482F,,,27' WIDE,,,1296,,"$155,587.24",,,$120.05,,,,,,
DRM 483F,,,27' WIDE,,,1296,,"$158,185.72",,,$122.06,,,,,,
DRM 484F,,,27' WIDE,,,1296,,"$158,195.44",,,$122.06,,,,,,
DRM 486F,,,27' WIDE,,,1296,,"$160,585.48",,,$123.91,,,,,,
DRM 521F,,,27' WIDE,,,1404,,"$166,128.04",,,$118.32,,,,,,
DRM 561F,,,27' WIDE,,,1512,,"$166,246.84",,,$109.95,,,,,,
DRM 562F,,,27' WIDE,,,1512,,"$166,745.80",,,$110.28,,,,,,
DRM 563F,,,27' WIDE,,,1512,,"$169,371.28",,,$112.02,,,,,,
DRM 564F,,,27' WIDE,,,1512,,"$167,902.48",,,$111.05,,,,,,
DRM 601F,,,27' WIDE,,,1620,,"$172,430.92",,,$106.44,,,,,,
DRM 682F,,,27' WIDE,,,1836,,"$184,535.56",,,$100.51,,,,,,
DRM 683F,,,27' WIDE,,,1836,,"$185,942.80",,,$101.28,,,,,,
DRM 711F,,,27' WIDE,,,1917,,"$189,376.12",,,$98.79,,,,,,
"Inspiration ""Gold"" - Pure Plus Included in the Base",,,,,,,,,,,,,,,,,
ING 362A - MYRTLE,,,24' WIDE,,,852,,"$146,831.68",,,$172.34,,,,,,
ING 361F - DOGWOOD,,,27' WIDE,,,958,,"$149,725.00",,,$156.29,,,,,,
ING 382F - REDWOOD II,,,27' WIDE,,,1026,,"$155,540.80",,,$151.60,,,,,,
ING 485F - BLUE SPRUCE,,,27' WIDE,,,1296,,"$173,008.72",,,$133.49,,,,,,
ING 486F - MANZANITA,,,27' WIDE,,,1296,,"$169,301.08",,,$130.63,,,,,,
ING 524F - WISTERIA,,,27' WIDE,,,1404,,"$177,541.48",,,$126.45,,,,,,
ING 525F - BLACK WALNUT,,,27' WIDE,,,1404,,"$175,565.08",,,$125.05,,,,,,
ING 561F - SPRUCE,,,27' WIDE,,,1512,,"$187,243.12",,,$123.84,,,,,,
ING 563F - COTTONWOOD,,,27' WIDE,,,1512,,"$183,446.92",,,$121.33,,,,,,
ING 564F - SHASTA,,,27' WIDE,,,1512,,"$177,772.60",,,$117.57,,,,,,
ING 565F - SCARLET OAK,,,27' WIDE,,,1512,,"$175,851.28",,,$116.30,,,,,,
INS 605F - GRAND NOBLE,,,27' WIDE,,,1620,,"$189,654.76",,,$117.07,,,,,,
ING 662F - SHAGBARK HICKORY,,,27' WIDE,,,1782,,"$200,270.08",,,$112.39,,,,,,
ING 681F - EUCALYPTUS,,,27' WIDE,,,1836,,"$199,435.24",,,$108.62,,,,,,
ING 684F - WESTERN LARCH,,,27' WIDE,,,1836,,"$200,017.36",,,$108.94,,,,,,
ING 762G - GIANT SEQUOIA,,,30' WIDE,,,2280,,"$226,699.44",,,$99.43,,,,,,
ING 764G - WEEPING WILLOW,,,30' WIDE,,,2280,,"$225,200.40",,,$98.77,,,,,,
ING 601K - WHITE PINE,,,TRIPLE WIDE,,,2347,,"$250,359.96",,,$106.67,,,,,,
ING 602K - GENERAL SHERMAN,,,TRIPLE WIDE,,,2347,,"$250,774.68",,,$106.85,,,,,,
ING 621K - TAMARACK,,,TRIPLE WIDE,,,2038,,"$240,840.84",,,$118.18,,,,,,
ING 682K - UTE PRAYER,,,TRIPLE WIDE,,,2654,,"$274,845.72",,,$103.56,,,,,,
Patriot,,,,,,,,,,,,,,,,,
Patriot 56',,,27' WIDE,,,1512,,"$184,354.12",,,$121.93,,,,,,
Cross Mod,,,,,,,,,,,,,,,,,
Hawthorne,,,27' WIDE,,,1458,,"$175,272.40",,,$120.21,,,,,,
Hawthorne,,,30' WIDE,,,1620,,"$185,889.88",,,$114.75,,,,,,
Zero Lot Line (Duplex),,,,,,,,,,,,,,,,,
DRM HUD Duplex (1080sq.ft Ea.),,,30x72,,,2160,,"$246,486.96",,,$114.11,,,,,,
Park Model,,,,,,,,,,,,,,,,,
DRS 331M (The Lodge),,,12' x 33',,,396,,"$81,008.28",,,$204.57,,,,,,
"***Includes Upgrades, Delivery, Setup, Propane Tank, & Mini Split***",,,,,,,,,,,,,,,,,
MARLETTE,,,,,,,,,,,,,,,,,
Model #,Size,,,SQFT,,,Retail Price,,,Price Per Sqft,,,,,,,
New Columbia River Collection (COL),,,,,,,,,,,,,,,,,
1001,"13' 4"" x 36'",,,480,,,"$94,871.24",,,$197.65,,,,,,,
1002,"13' 4"" x 40'",,,533,,,"$99,089.72",,,$185.91,,,,,,,
1003,"13' 4"" x 48'",,,640,,,"$108,099.08",,,$168.90,,,,,,,
1004,"13' 4"" x 56'",,,746,,,"$115,421.48",,,$154.72,,,,,,,
1005,"13' 4"" x 60'",,,800,,,"$119,658.32",,,$149.57,,,,,,,
1006,15' x 48',,,720,,,"$113,440.76",,,$157.56,,,,,,,
1007,15' x 56',,,840,,,"$123,076.52",,,$146.52,,,,,,,
